0        1         2         3         4         5         6         7         8         9        10        11
123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890123456789012345678901234567890
-----+-----+--------------------------------------------+------------------+-------+--------+------+----+---+---+
name |  id |                title                       |   units          | type  | level  | dsf  | prc|cm1|cm2|
CLSF | 121 | LATENT HEAT FLUX FROM SURFACE              | W/M2             | float | sfc    | -999 | 16 |   |   |
CSSF | 122 | SENSIBLE HEAT FLUX FROM SURFACE            | W/M2             | float | sfc    | -999 | 16 |   |   |
BLDS | 123 | BOUND LAYER DISSIPATION                    | W/M2             | float |        | -999 | 16 |   |   |
IMAG | 127 | IMAGE                                      | IMAGE^DATA       | float | sfc    | -999 | 16 |   |   |
T02M | 128 | TEMPERATURE AT 2-M FROM SURFACE            | K                | float | sfc2m  | -999 | 16 |   |   |
DP2M | 129 | 2 METRE DEWPOINT TEMPERATURE               | K                | float | sfc2m  | -999 | 16 |   |   |
U10M | 130 | 10 METRE U-WIND COMPONENT                  | M/S              | float | sfc10m | -999 | 16 |   |   |
V10M | 131 | 10 METRE V-WIND COMPONENT                  | M/S              | float | sfc10m | -999 | 16 |   |   |
TOPO | 132 | TOPOGRAPHY                                 | M                | float | sfc    | -999 | 16 |   |   |
BIUP | 133 | TOT BIOMASS IN THE UPPER CANOPY            | KG_C/M**2        | float | sfc    | -999 | 16 |   |   |
LNSP | 134 | LN SURFACE PRESSURE                        | LN(HPA )         | float | sfc    | -999 | 16 |   |   |
PSLC | 135 | SURFACE PRESSURE                           | HPA              | float | sfc    | -999 | 16 |   |   |
PSLM | 136 | M S L PRESSURE (MESINGER METHOD)           | HPA              | float | msl    | -999 | 16 |   |   |
MASK | 137 | MASK                                       | -/+              | float |        | -999 | 16 |   |   |
UCHI | 138 | ZONAL WIND CHI                             | M/S              | float |        | -999 | 16 |   |   |
VCHI | 139 | MERIDIONAL WIND CHI                        | M/S              | float |        | -999 | 16 |   |   |
LAIU | 140 | TOT LEAF AREA INDEX FOR THE UPPER CANOPY   |                  | float | sfc    | -999 | 16 |   |   |
LAIL | 141 | TOT LEAF AREA INDEX FOR THE LOWER CANOPY   |                  | float | sfc    | -999 | 16 |   |   |
LHCV | 142 | CONVECTIVE LATENT HEATING                  | K/S              | float |        | -999 | 16 |   |   |
MSCV | 143 | CONVECTIVE MOISTURE SOURCE                 | 1/S              | float |        | -999 | 16 |   |   |
SCVM | 144 | SHALLOW CONV. MOISTURE SOURCE              | 1/S              | float |        | -999 | 16 |   |   |
SCVH | 145 | SHALLOW CONVECTIVE HEATING                 | K/S              | float |        | -999 | 16 |   |   |
TSNS | 146 | TOT STORAGE OF N IN SOIL PROFILE           | kg_N m-2         | float | sfc    | -999 | 16 |   |   |
CAPE | 147 | CONVECTIVE AVAIL. POT.ENERGY               | M2/S2            | float | atm    | -999 | 16 |   |   |
CINE | 148 | CONVECTIVE INHIB. ENERGY                   | M2/S2            | float | atm    | -999 | 16 |   |   |
VDCC | 149 | VERTICAL DIST TOTAL CLOUD COVER            | 0-1              | float |        | -999 | 16 |   |   |
QLCD | 150 | LIQUID WATER CONTENT IN CLOUD              |                  | float |        | -999 | 16 |   |   |
CSGR | 151 | SENSIBLE HEAT FLUX FROM GROUND             | W/M2             | float | sfc    | -999 | 16 |   |   |
UCHT | 152 | TIME MEAN ZONAL WIND CHI                   | M/S              | float |        | -999 | 16 |   |   |
SWET | 153 | SEVERE WEATHER THREAT                      |                  | float | sfc    | -999 | 16 |   |   |
TSSV | 154 | TOT. OF WATER STORAGE SNOW SOIL VEG        | kg_h2o           | float | sfc    | -999 | 16 |   |   |
